1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
4.9.13	tacced ṛtvigbhiḥ prāśayeyus tandulān ādāyāpavidhyeyur neṣṭāvaddhiṃkṛtānīti
4.9.14	athānyān hutāsv āśvatthīṣv anudadhīran
4.9.15	ādhāsyamānasyāraṇyoḥ prattayo yathārthaṃ syāt
4.9.16	pūrvāhṇe dakṣiṇenāgnyāyatanāni gatvā yatrāgniṃ manthiṣyantaḥ syus taddakṣiṇato nirastaḥ prarāvasur iti dakṣiṇā tṛṇaṃ nirasyed ā vasoḥ sadane sīdāmīty upaviśet bhūr bhuvaḥ svar bṛhaspatir brahmāhaṃ mānuṣa om ity etenopaviśet yajuṣeti yatra syāt
4.9.17	agniṃ praṇīyamānaṃ yathetam anugacchet
4.9.18	nidhīyamānasya dakṣiṇataḥ sthitvā nihite yajuṣopaviśet
4.9.19	atra prathamam iti śāṇḍilyaḥ
4.9.20	dvitīyam iti dhānañjapyaḥ
4.9.21	jāte rathantaraṃ gāyed vāmadevyaṃ hriyamāṇe bṛhannihite sarvāṇi tṛceṣu manasā
4.9.22	prathamottamayoḥ sthāne vāravantīyayajñāyajñīya iti lāmakāyanaḥ
4.9.23	pūrve kalpe bhūyāṃsīti dhānañjapyaḥ
4.10.1	manthiṣyatsvaraṇī ālabhyāraṇyor iti gāyet
4.10.2	mathyamāne 'gniṃ nara ity etayor anyatarat
4.10.3	dhūma udite tveṣas te dhūma ṛṇvatīti
4.10.4	prajvalite 'darśi gātv iti
4.10.5	nidhīyamāne gavāṃ vrataṃ yad agnim īḍa iti
4.10.6	yāni vainam adhvaryur brūyāt tāni gāyet
4.10.7	tāny udgātṛkarmaika udgātā sāmavedeneti śruteḥ
4.10.8	yathā vihavyasajanīyakayāśubhīyāni hotuḥ
4.10.9	prastotuś ca vairājaśakvaroprastāvāḥ
4.10.10	sarvaiś cāvidhānād brahmatvakāribhiḥ
4.10.11	karmayogāc codgātuś catvāro mahartvijaḥ prāśnantīti ha cātuṣprāśyaprāśanam
4.10.12	adhikārāt tu brahmaṇaḥ
4.10.13	udgātre cāvidhānāt
4.10.14	dṛṣṭaṃ cānena sāmagānaṃ vājapeyasautrāmaṇyoḥ
4.10.15	udgāteti yathābhūyaso vādaḥ
4.10.16	hautre vidher vihavyādīni
4.10.17	stotravat prastāvāḥ
4.10.18	virāṭsu sruvanti purīṣeṇa sruvata iti bahuśruteḥ
4.10.19	avidhānaṃ vidhidvaidhāt
4.10.20	yāvadvacanaṃ karmayogaḥ
4.10.21	hutāyāṃ pūrṇāhutau yathārthath syāt
4.10.22	akṣāṃś ced abhijuhuyus tatra gatvā tūṣṇīm upaviśet
4.10.23	tair dyūte yathārthaṃ syāt
4.10.24	iṣṭyādiṣu sarveṣu yajuṣopaviśet
4.10.25	pūrve yajamānāt
4.10.26	āhavanīyaṃ prati
4.10.27	paridhyor vā saṃdhiṃ srucāṃ vāgrāṇy utkaraṃ vā
4.10.28	tam antareṇāhavanīyaṃ ca yajamānasaṃcaro nānyeṣām
4.10.29	taṃ yadādhvaryur brūyād brahmann idaṃ kariṣyāmīti savitṛprasūto 'daḥ kuru bhūr bhuvaḥ svar bṛhaspatir brahmāhaṃ mānuṣa om ity ete nānumantrayeta
4.11.1	praṇītāsu praṇīyamānāsu vācaṃ yacched ā tāsāṃ vimocanāt
4.11.2	tāsv eva praṇīyamānāsv āhaviṣkṛta stambayajuṣaś cādhyāsamidhaḥ prasthānīyāyā iti vā
4.11.3	yatra vādhvaryur bahvṛcau ceṣṭetāṃ yatra vā na ceṣṭeta vāgyataḥ prāyastveva syāt
4.11.4	prāyaścittaṃ cet kartavyaṃ syād bhūḥ svāheti gārhapatye juhuyāt bhuvaḥ svāheti dakṣiṇāgnāv āgnīdhrīye sutyā cet svaḥ svāhety āhavanīye bhūr bhuvaḥ svaḥ svāheti tatraiva
4.11.5	hutvā brūyāc ceṣṭatākārṣmaprāyaścittam iti
4.11.6	avelāyāṃ ced vyāhared ayajñiyaṃ vāpadyetaitā eva vyāhatīr anuprekṣetedaṃ viṣṇur iti varcam
4.11.7	amāvāsyāyāṃ dohanapavitre mārjayerann āpohiṣṭhīyābhiḥ
4.11.8	tadabhāve dārbhe
4.11.9	sarveṣṭiṣv iti śāṇḍilyāyanaḥ
4.11.10	prāśitram āhriyamāṇaṃ pratimantrayeta mitrasya tvā cakṣuṣā pratipaśyāmīti
4.11.11	apa ācamya pratigṛhṇīyād devasya tveti
4.11.12	vyūhya tṛṇāni purastād daṇḍaṃ sādayet pṛthivyās tvā nābhau sādayāmīti
4.11.13	aṅguṣṭhenānāmikayā cādāyāgneṣ ṭvāsyena prāśnāmīti prāśnīyād asaṃkhādan nigiret
4.11.14	apa ācamyorasi pāṇiṃ nidadhītendrasya tvā jaṭhare sādayāmīti
4.11.15	prakṣālya prāśitraharaṇaṃ tatra nidadhyāt
4.11.16	yathāhṛtaṃ vā pratihārayet
4.11.17	brahmabhāgam āhṛtaṃ tatropanidadhīta
4.11.18	tam iṣṭau saṃsthitāyāṃ prāśnīyāt
4.11.19	anvāhāryam āhṛtaṃ tūṣṇīm ālabheta
4.11.20	prajāpater bhāgo 'sīti vā
4.11.21	athāparaṃ prajāpater bhāgo 'sy ūrjasvān yayasvān akṣito 'sy akṣityai tvā prāṇāpānau me pāhi samānavyānau me pāhy udānarūpe me pāhy ūrg asy ūrjaṃ mayi dhehīti
4.11.22	tatraiva yajamānaṃ vācayet prajāpatiṃ tvayā samakṣādadhyāsamāgamyā anvāhāryaṃ dadāni brahman brahmāsi brahmaṇe tvā hutādadhyā mā mā hiṃsīr ahuto mahyaṃ śivā bhaveti
4.12.1	samidhaṃ prasthānīyām anumantrayeta deva savitar etat te yajñaṃ prāhur bṛhaspataye brahmaṇe tena yajñam ava tena yajñapatiṃ tena mām ava mano jūtir juṣatām ājyasya bṛhaspatir yajñam imaṃ tanotv ariṣṭaṃ yajñaṃ sam imaṃ dadhātu viśve devā sa iha mādayantām ity upāṃśu pratiṣṭhety uccaiḥ
4.12.2	sarvānumantraṇena vā
4.12.3	vimuktāsu praṇītāsu samidha ādadhyād yathāvabhṛthād udetya
4.12.4	etat sarveṣṭīnāṃ brahmatvam
4.12.5	samānāhany ekāsane na punar yajuṣopaviśed iti śāṇḍilyaḥ
4.12.6	agnyādheyeṣv iṣṭiṣu prathamāyāṃ yajuṣopaviśeta uttamāyā samidha ādadhyād iti gautamaḥ
4.12.7	pṛthagiṣṭiṣv iti dhānañjapyaḥ
4.12.8	cātuṣprāśyaṃ ca prāśnatsu dhenuṃ dadyād brahmaṇe 'dhvaryave cāgnipadaṃ dhenūr hotre vatsatarī brahmaṇe 'naḍuho 'dhvaryave tathodgātre sarve trivargāḥ paṣṭhauhīm agnīdhrāya sarvebhyo 'śvarathaṃ kuṇḍale ceti
4.12.9	evam eva dhenum agnipadaṃ ceti śāṇḍilyaḥ
4.12.10	dhenum anaḍvāhaṃ vatsatarīṃ vatsataram ajaṃ pūrṇapātraṃ tatprathamāyām iṣṭau dadyāt
4.12.11	tathottarayor anyatrājapūrṇapātrābhyām iti
4.12.12	varaḥ saptamo dakṣiṇānāṃ trayodaśo vā pañcaviṃśo vaitad vājasaneyakam
4.12.13	agnyādheyāntān kurvate pūrṇāhutim akṣābhihomam iṣṭīr iti
4.12.14	mithunau dakṣiṇānvārambhaṇīyāyām iṣṭau
4.12.15	vājināśvinagharmāṇām ṛtvikṣapahavam iṣṭvā prāṇabhakṣaṃ bhakṣayet pratyakṣabhakṣaṃ sve yajñe
4.12.16	yan me retaḥ prasicyate yadā me 'pi gacchati yad vā jāyate punas tena mā śivam āviśa tena mā vājinaṃ kuru tasya te vājapītasyopahata upahūtasya bhakṣayāmīti vājinasya
4.12.17	ṛtūnāṃ tvā vākṣināṃ vājinaṃ bhakṣyāmīti vā
4.12.18	ubhābhyāṃ vobhābhyāṃ vā
5.1.1	cāturmāsyeṣu varuṇapraghāsānāṃ stambayajur hariṣyatsu yajuṣopaviśet
5.1.2	vilikhite cātvāle 'dhvaryuṇā saha pratyāvrajyāhavanīya upaviśet
5.1.3	agnī praṇīyamāṇau yathetam anugacchet
5.1.4	adhvaryuś ced bruyād brahmann ekasphyayopasaṃbhindhīti sphyenāhavanīyāt pāṃśūn upahatyottarasyā veder dakṣiṇād antāt karṣann iyād āvedi
5.1.5	madhyād ekā cet
5.1.6	prohya sphyaṃ paścimena vedī gatvā nidhīyamānayor agnyos tūṣṇīm upaviśet
5.1.7	etat karmāgnipraṇayaneṣu sarveṣu
5.1.8	avabhṛthanyaṅgaṃ gacchatsu pūrveṇāgnī cātvālaṃ ca gacchet paścimena vedī cālātvaṃ ca sve yajñe haviryajñeṣv eṣa saṃcara uttareṇa vihāraṃ karmabhyaḥ
5.1.9	yathā cātvāle tathā yūpe śāmitre ca paśau
5.1.10	avabhṛthanyaṅgaṃ prāpyābhyukṣaṇaprabhṛti sautyaṃ karma samāpayeyuḥ
5.1.11	sākamedheṣu kṣīraudanasya yathārthaṃ prāśnīyāt
5.1.12	yajamānaṃ brūyāt prabhūtam annaṃ kāraya suhitā alaṃkṛtā bhavatety amātyān brūhi vatsāṃś ca mātṛbhiḥ saha vāsayeta
5.1.13	pūrvāhṇe 'dhvaryuḥ kṣīraudanam ṛṣabhasya ravathe juhoti brahmāṇam upaveśya
5.1.14	ṛṣabhe 'ruvati brahmaiva brūyāj juhudhīti
5.1.15	tūṣṇīṃ paitṛyajñikāyāṃ sarvaṃ kuryād om ity evānumantrayet
5.2.1	yajñopavītaprācīnāvītayor adhvaryum anu vidadhīta
5.2.2	tasyā havīṃṣi nirvapsyatsu dakṣiṇayā dvārā prapadya paścāt prāṅmukha upaviśet
5.2.3	evam eva vediṃ gatvā stambayajur hariṣyatsu
5.2.4	ājyabhāgayor hutayor dakṣiṇenāgniṃ gatvā purastāt pratyaṅmukha upaviśed yajamānaś ca
5.2.5	ite sviṣṭakṛte yathetaṃ pratyāvrajyopaviśetām
5.2.6	prāśitram āhṛtam upaghrāyāpavidhyet
5.2.7	ājyaṃ cet prāśitrabhāgād avadyeyus tad upaghrāyāpa upaspṛśet
5.2.8	iḍāṃ ca pratigṛhya pratiprayaccheta
5.2.9	pariṣikte 'dhvaryuṇāhavanīyam upatiṣṭheran dakṣiṇenāgniṃ gatvottareṇa dakṣiṇāgniṃ sve yajñe
5.2.10	akṣann amīmadanta hīti prathamāsu sadṛśaṃ tvā vayaṃ maghavan mandiṣīmahi pra nūnaṃ pūrṇabandhuraḥ sruto yāsi vaśāṃ anuyojānv indra te harī iti dvitīyopāṃśu śṛṇuhī gira iti tṛtīyā
5.2.11	tata evekṣamāṇā gārhapatyaṃ mano 'nvāhavāmahe nārāśaṃsena somena pitṛṇāṃ ca manmabhiḥ punar naḥ pitaro mano dadātu daivo jano jīvaṃ vrātaṃ sace mayā na etu manaḥ punaḥ kratve dakṣāya jīvase jyok ca sūryaṃ dṛśe 'yam iti
5.2.12	kayā naś citra ābhuvad ity ekayā dakṣiṇāgnim
5.3.1	traiyambakā nāmāpūpā bhavanty ekakapālāḥ
5.3.2	teṣāṃ yam adhvaryurākhatkara upopet tatrāpa upaspṛśeyuḥ śivā naḥ śanta mā bhava summṛḍīkā sarasvati mā te vyoma saṃdaśa iti
5.3.3	āsītetareṣāṃ hūyamāna iti dhānañjapyaḥ
5.3.4	tiṣṭhed iti śāṇḍilyaḥ
5.3.5	hute tiṣṭhanto japeyur avāṃ varudramayakṣmahmavadevaṃ tyambaka yathā naḥ śreyasas karad yathā no vasīyasas karad yathā naḥ paśumatas karad yathā no vyavasāyayād bheṣajam asi bheṣajaṃ gave 'śvāya puruṣāya bheṣajaṃ sugaṃ meṣāya meṣyai subheṣajaṃ yathāsad iti
5.3.6	yajamānasyāmātyā ekaikam apūpam ādāya triḥ pradakṣiṇam agniṃ pariyuḥ
5.3.7	tatra brahmā pariyañ japed iti dhānañjapyas tiṣṭhann iti śāṇḍilyas tryambakaṃ yajāmahe sugandhiṃ puṣṭivardhanam urvārukam iva bandhanān mṛtyor mukṣīyamāmṛtād iti
5.3.8	evaṃ parītyodasyeyuḥ
5.3.9	teṣāṃ brahmaikaṃ lipsitvā yasya sa syāt tasmai prayacchet
5.3.10	tasya vaiva santaṃ pāṇāv ālabheta
5.3.11	tathaiva pratiparīyuḥ
5.3.12	yatrainān adhvaryur āsajet tatropatiṣṭherann eṣa te rudra bhāgas tenāvasena paromūjavatotīhi kṛttivāsāḥ pinākahasto 'vatatadhanvom ity ā tamitor upeyuḥ
5.3.13	śaṃ no devīr ity apa upaspṛśyānapekṣaṃ pratyāvrajeyuḥ
5.3.14	varuṇapraghāsair vyākhyātaṃ brahmatvaṃ haviryajñeṣu
5.3.15	paśūnāṃ yūpāhutiṃ hoṣyatsu tūṣṇīm upaviśet
5.3.16	hutāyāṃ yathārthaṃ syāt
5.3.17	vapāyāṃ hutāyām idam āpa iti cātvāle mārjayitvā sarvapaśūnāṃ yathārthaṃ syāt
5.4.1	puroḍāśena cariṣyatsu tūṣṇīm upaviśet
5.4.2	āhṛtaṃ puroḍāśam ālabhya brūyāt prāśnantu ye prāśiṣyanta iti
5.4.3	anuvrajet sarvapaśūnāṃ patnīsaṃyājān iti dhānañjapyaḥ
5.4.4	savanīyasyaiveti gautamaḥ
5.4.5	na savanīyasya ca neti śāṇḍilyaḥ
5.4.6	hṛdayaśūlo 'trāvabhṛthanyaṅgasthāne bhavati tasminn apa upaspṛśeyur dhāmno dhāmno rājaṃs tato varuṇa nomuñca yadāpo aghnyā varuṇe 'tiṣayāmahe tato varuṇa nomuñca sumitriyāna āpa uṣadhayaḥ santu durmitriyās tasmai santu yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti
5.4.7	abhyukṣaṇaprabhṛty ata ūrdhvam
5.4.8	nādityam upatiṣṭheran
5.4.9	pūrṇāhutau hūyamānāyām āsitvā hutāyāṃ yathārthaṃ syāt
5.4.10	saktuhomāñ cej juhuyur āsītā teṣāṃ homāt
5.4.11	sautrāmaṇyāṃ surākarmasv āvrājam āsīt
5.4.12	tatra dvāv agnī atipraṇayanti
5.4.13	tayor dakṣiṇata āsīt
5.4.14	dakṣiṇam adhy adhi kumbhyām āsaktāyāṃ surāśeṣeṣy āsicyamāneṣūpatiṣṭheran yat te pavitram arciṣy agne vitatam antaraṃ brahma tena punīhi meti
5.4.15	aśvinor grahasya bhakṣayed yam aśvinā namucer āsurād adhi sarasvaty asunod indriyeṇemantaṃ śukraṃ madhumantam indaṃ somaṃ rājānam iha bhakṣayāmīti bhakṣayeta
5.4.16	yajamānaṃ ced vasātiśeṣeṇābhiṣiñceyur upotthāyāntareṇāgnī gatvādhvaryuṇoktaḥ saṃśānāni gāyet padāya padāya stobheta
5.4.17	nidhanāny apayanto yajamānasya mūrdhānam ālabheran
5.4.18	saṃ tvā hinvantīty eteṣāṃ pūrvaḥ pūrvaḥ stobha uttaraṃ nidhanam
5.4.19	śravasaḥ sthāne saṃjityai vijityai satyajityai jityā iti kṣatriyasya saṃpuṣṭyai vipuṣṭyai satyapuṣṭyai puṣṭyā iti vaiśyasya
5.4.20	dve sautrāmaṇyau kaukilī carakasautrāmaṇī ca
5.4.21	kaukilyāṃ sāmagānaṃ netarasyām
5.4.22	sapta haviryajñasaṃsthāḥ sapta somasaṃsthāḥ
5.4.23	tāsāṃ haviryajñasaṃsthānām agnyādheyam agnihotraṃ darśapūrṇamāsau cāturmāsyāni paśubandhaḥ sautrāmaṇī pākayajña iti
5.4.24	atha somasaṃsthā agniṣṭomo 'tyagniṣṭoma ukthyaḥ ṣoḍaśy atirātro vājapeyo 'ptoryāma ity aptoryāma iti
5.5.1	sutyāyāṃ brahmaṇaḥ prāk subrahmaṇyāyā udgātreṇa samānaṃ karma
5.5.2	īkṣaṇākramaṇe vedeḥ saṃcaradhiṣṇyopasthānadakṣiṇāpratigrahabhakṣāḥ stomavimocanāc cordhvam anyat sāmagānāt
5.5.3	anu syāt tu dīkṣaṇīyāyām
5.5.4	tasyā saṃsthitāyām āsītādīkṣaṇād yajamānasya
5.5.5	taṃ yadādhvaryur vācaṃ yamayed atha yathārthaṃ syāt
5.5.6	mahāvīrān saṃbhariṣyatsu tūṣṇīm upaviśet saṃbhṛteṣu yathārthaṃ syāt
5.5.7	prāyaṇīyāyāṃ saṃsthitāyāṃ yathetaṃ niṣkramya pūrveṇa patnīśālāṃ tiṣṭhed ābhihomāt padasya rājakrayaṇyāḥ
5.5.8	abhihuta uttareṇa somavacanaṃ gatvā prāg vā padābhihomād dakṣiṇena yatra rājānaṃ kreṣyantaḥ syus tatra gatvā tūṣṇīm upaviśet
5.5.9	krīte prāṅ utkrāmet paścimenainaṃ hṛtvā rājānam ādadhyur āhitaṃ pūrveṇa parītyohyamānam anugacched dakṣiṇena ced gataḥ syāt
5.5.10	uttareṇa cet krīte pratyaṅ utkrāmet
5.5.11	pūrvaṇainaṃ hṛtvā rājānam ādadhyuḥ
5.5.12	āhitaṃ paścimena parītyohyamānam anugacchet
5.5.13	tām evātreṣām anvāvarteta sā hy asya prāci vartamānasya dakṣiṇeṣā bhavatīti
5.5.14	vimukte cāntareṇa somavacanaṃ patnīśālāṃ ca dakṣiṇotkramya tiṣṭhed dīkṣitaś cet
5.5.15	ā rājño 'vaharaṇāt
5.6.1	praveśyamānaṃ rājānam anupraviśed avyavayann agninā
5.6.2	saṃbādhaṃ cet syād dakṣiṇayāpi dvārā praviśet
5.6.3	uttareṇāhavanīyaṃ paścimena vediṃ saṃcaret dīkṣitaś cet
5.6.4	ātithyām iṣṭiṃ nirvapante
5.6.5	tāṃ ced anavahate rājani nirvaperan brāhmaṇaṃ rājani samādiśya tatrāsīta
5.6.6	tasyāṃ saṃsthitāyāṃ tānūnaptram ājyam avamṛśya japeyur havir asi vaiśvānaram anādhṛṣṭam anādhṛṣyaṃ devānām ojo 'nabhiśasty abhiśastipā anabhiśastenyam añjasā satyam upageṣaṃ  suvite mā dhā iti
5.6.7	apa upaspṛśyādhvaryuṇokto rājānaṃ visrambhayet
5.6.8	taṃ hiraṇyenāntardhāyābhimṛśeyur aṃśur aṃśuṣ ṭe deva somāpyāyatām indrāyaikadhanavida ā tubhyam indraḥ pyāyatām ā svam indrāya pyāyasvāpyāyayāsmāt sakhīṃ sanyā medhayā svasti te deva soma sutyām udṛcam aśīyeti
5.6.9	kāśamaye prastare nihnuvīran dakṣiṇān uttānān pāṇīn kṛtvā savyān nīca eṣṭā rāya eṣṭā vāmāni preṣe bhagāyartam ṛtavādibhyo namo dive namaḥ pṛthivyā iti
5.6.10	upasadiṣṭir ata ūrdhvaṃ tasyāṃ tathaivābhimarśananihavane savyā aparāhna uttānāḥ syur dakṣiṇān pañcaḥ
5.6.11	sruveṇopasaddhome hute vidyāt saṃsthiteti
5.6.12	tasyā dharmaḥ pravargyavati pūrvaḥ
5.7.1	tam abhīndhiṣyatsu gārhapatyaṃ gatvā yajuṣopaviśed dakṣiṇena dakṣiṇāgnim uttareṇa bahiś cet
5.7.2	rucito gharma ity ukte 'nuvākena tiṣṭhanto 'vekṣeran yam adhvaryur brūyāt
5.7.3	taṃ hriyamāṇaṃ yathetam anuvrajan japed viśvā āśā dakṣiṇadhak sarvān devān ayāḍ iha svāhā kṛtasya gharmasya madhoḥ pibatam aśvineti
5.7.4	āśrāvita upaviśya japed aśvinā gharmaṃ pātam aharvyānam ahardivābhir ūtibhis tantrāyaṇena moghā vā pṛthivī dyām iti
5.7.5	hute yajamānaṃ vācayed apātām aśvinā gharmam anu dyāvāpṛthivī amaṃsātām ihaiva rātayaḥ santv iti
5.7.6	gharmaśeṣasya bhakṣayen madhuhutam indratame 'gnāv aśyāmate deva gharma namas te 'stu mā mā hiṃsīr iti
5.7.7	sattraṃ cet syād yajamānā upahūyadhvam ity evopajñānam
5.7.8	evaṃ sadā pravargyopasadaḥ kuryāt
5.7.9	mahāvedeḥ stambayajur hariṣyatsu yajuṣopaviśet
5.7.10	vilikhite cātvāle yathārthaṃ syāt
5.7.11	uttaravediṃ nirvapsyatsu tūṣṇīm upaviśet nyuptāyāṃ yathārthaṃ syāt
5.7.12	agnicityāyāṃ prāg dīkṣaṇīyāyāḥ sāvitrān homān hoṣyatsu yajuṣopaviśet
5.7.13	teṣu huteṣūkhyāṃ mṛttikām āhriyamāṇām anugacchet
5.7.14	tasyāṃ sambhriyamāṇāyām āsitvā sambhṛtāyāṃ yathārthaṃ syāt
5.8.1	āhavanīyaṃ ceṣyatsu yajuṣopaviśet
5.8.2	tasmin saṃcita ukhyām āsandīṃ nairṛtīś ceṣṭakā araṇyaṃ hriyamāṇā anugacchet
5.8.3	nidhīyamānānāṃ dakṣiṇataḥ sthitvā nihitāsv apa upaspṛśyānapekṣaṃ pratyāvrajet
5.8.4	agniṃ vikrakṣyatsu sarvauṣadhaṃ ca vapsyatsu tūṣṇīm upaviśet
5.8.5	taiḥ sārdhaṃ pratyāvrajya citīḥ praṇīyamānā anugacchet
5.8.6	nidhīyamānānāṃ dakṣiṇataḥ sthitvā nihitāsu dakṣiṇasya pakṣasyāsanno yajuṣopaviśet
5.8.7	lokaṃpṛṇāsūpadhīyamānāsu brāhmaṇaṃ tatra samādiśya yathārthaṃ syād iti śāṇḍilyaḥ
5.8.8	āsītaiveti dhānañjapyaḥ
5.8.9	evaṃ sadā citiṣu kuryāt
5.8.10	saṃcitakarmāṇi kariṣyatsv āvrājam āsīt
5.8.11	samrāḍāsandīṃ hriyamāṇām anugacchet
5.8.12	pariṣicyamāne 'pa upaspṛśya taiḥ sārdhaṃ pratyāvrajyāgniṃ praṇīyamānam anugacched apratirathaṃ japaṃs tūṣṇīm anagnicityā cet
5.8.13	nidhīyamānasya dakṣiṇataḥ sthitvā nihite dakṣiṇā bahirvedi yajuṣopaviśeṣet
5.8.14	havirdhāne pravartyamāne anugacchet
5.8.15	parivāryamāṇayos tatraiva gatvāsīta
5.8.16	ucchritāyām audumbaryāṃ yathārthaṃ syāt yathārthaṃ syāt
5.9.1	agnīṣomau praṇeṣyatsu vedim ākrāmen mantreṇa
5.9.2	paścimenottaravedim udaṅ atikramyākramaṇayajur japec cātvālasamīpe dīkṣitaś cet
5.9.3	tūṣṇīm ata ūrdhvaṃ veder ākramaṇam
5.9.4	krītvā rājā yenātihṛtaḥ syāt tena gatvā tūṣṇīm upaviśet
5.9.5	rājānaṃ harety uktaḥ pūrveṇāgnim ekasmā atipradāya tān prasavyaṃ parītyādāyānugacched dakṣiṇena ced gataḥ syāt
5.9.6	uttareṇa ced yathetam agniṃ parītyādāyānugacchet
5.9.7	anyena ced brahmā vrajitaḥ syād anyena rājā tenainaṃ pragṛhṇīyāt
5.9.8	etau tv eva brahmaṇo gatikalpāv aharato 'pi
5.9.9	āsītāgnīghrīya āhutyor hūyamānayor iti dhānañjapyaḥ
5.9.10	tiṣṭhed iti śāṇḍilyaḥ
5.9.11	uttareṇāgnīdhrīyaṃ rājānam ājyāni ca hriyamāṇāny anugacchet
5.9.12	praveśiteṣu havirdhānaṃ paścimena gatvāsīteti gautamaḥ
5.9.13	pūrveṇeti śāṇḍilyāyano dakṣiṇasya dvārabāhoḥ purastād yajuṣeti
5.9.14	agnīṣomīyavapāyāṃ hutāyāṃ yathetam udaṅ atikramya cātvāle mārjayeta
5.9.15	evam evāpararātra ājyeṣu praviṣṭeṣūpaveśanaṃ mārjanaṃ ca savanīyavapāyāṃ hutāyām
5.10.1	puroḍāśena cariṣyatsu tūṣṇīm upaviśet
5.10.2	dīkṣitaś cet sarvā iḍā anvārabheta
5.10.3	vasatīvarīṣu parihriyamāṇāsu dakṣiṇotkramya tiṣṭhed adīkṣitaś ced ā tāsāṃ paricaraṇāt
5.10.4	āgnīdhrīyaṃ rājānaṃ hriyamāṇam anugacchet
5.10.5	nidhīyamānasya dakṣiṇataḥ sthitvā nihite yathārthaṃ syāt
5.10.6	dīkṣitaś cet tatraiva saṃviśet
5.10.7	apararātra ājyāni grahīṣyataḥ pūrveṇa gatvāgniṃ ca paścimena vā yajuṣopaviśet
5.10.8	ātteṣu prāṅ utkramya prasavyaṃ parītyānugacchet pūrveṇa ced gataḥ syāt
5.10.9	paścimena ced yathetam agniṃ parītyānugacchet
5.10.10	praveśiteṣūpaviśet
5.10.11	ājyeṣv eva grahīṣyamāṇeṣv atropaviśed iti śāṇḍilyaḥ
5.10.12	adhvaryuṇokto vācaṃ yacched ā tṛtīyaṃ prātaranuvākasya prathamāyāḥ
5.10.13	ā vā paridhānīyāyāḥ
5.10.14	ā vopāṃśvantaryamayor homāt
5.10.15	ā vā bahiṣpavamānāt
5.10.16	havirdhānaṃ cet pūrveṇa gataḥ syād upāśvantaryāmau hoṣyatsūdaṅṅ atikramya tiṣṭhed adīkṣitaś cet
5.10.17	ā tayor homāt
5.10.18	niḥsarpatsvannārabheta
5.10.19	tasya prastotrā samānaṃ karma prāg upaveśanāt
5.10.20	āstāvaṃ prāpyānāsanno yajuṣopaviśet prastotāraṃ pratikam
5.11.1	raśmir asīty etāv anuvākau stomabhāgāḥ
5.11.2	taiḥ pṛthag anupūrvaṃ stotrāṇy anumantrayeta brahman stoṣyāmaḥ praśāstar ity ukte
5.11.3	ūrdhvaṃ prathamād rātriparyāyād yatra syād amusmai tveti taṃ jitveti tatra brūyāt
5.11.4	savitṛprasūtā bṛhaspataye srutety ekaikasyāntaḥ
5.11.5	pūrveṣāṃ ca
5.11.6	bhūr bhuvaḥ svar bṛhatir brahmāhaṃ mānuṣa om ity etad vādhikaṃ kuryād oṅkāraṃ vā
5.11.7	yathāmnāyaṃ saṃdher anumantrayeta
5.11.8	traidhaṃ vibhajed iti dhānañjapyo vasuko 'si vaspaṣṭir asi veṣaśrīr asi vasukāya tvā vaspaṣṭaye tvā veṣaśriye tvā vasukaṃ jinva vaspaṣṭiṃ jinva veṣaśriyaṃ jinva savitṛprasūtā bṛhaspataye sruteti
5.11.9	srutadevena savitrā prasūtā ity anumantrayeta mānasaṃ vājapeye ca bṛhat
5.11.10	ānantaryeṇetarāṇi
5.11.11	iddhrāt stotrāṇi pūrveṇa tadvivṛddheḥ
5.11.12	pareṇa vā tannikāmanāt
5.11.13	mānasavad vātiriktasāmānyāt
5.11.14	sarvānumantraṇena vānuktatvāt
5.11.15	yad yat stotraṃ lupyeta sahaiva stomabhāgena
5.11.16	srute bahiṣpavamānena tatraiva gatvāsīta
5.11.17	vapāyāṃ hutāyāṃ mārjayitvā dhiṣṇyān upasthāyoktaṃ sadasy upaveśanam
5.12.1	srutaśastrayor vācaṃ yacchet
5.12.2	anucyamāne ca sarvatra
5.12.3	vaṣaṭkṛte visṛjeta
